pmid,title,abstract,year,journal,doi,authors
41173129,Mutations in gyrA and gyrB among drug-resistant Mycobacterium tuberculosis isolates in South Korea.,"Group A fluoroquinolones (FLQs) are essential for treating multidrug-resistant tuberculosis (MDR-TB). Mutations in gyrA and gyrB cause FLQ resistance, but their patterns vary by region. This study evaluated FLQ-associated mutations in the gyrA and gyrB genes by analyzing minimum inhibitory concentrations (MICs) using 7H9 broth microdilution (BMD) and Löwenstein-Jensen phenotypic drug susceptibility test (L-J pDST).",2025,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",10.1016/j.meegid.2025.105849,Seungmo Kim; Hwi-Jun Kim; Ryeun Heo; Hyeon-Su Kim; Jong-Myun Song; Cheon-Tae Kim; Hee-Jin Kim; Soul-Hee Kim; Jeong-Hui Gwon; Gicheon Bae; Sumi Kang; Kwang-Hyuk Seok; Eunseon Kim; Dae-Seon Han; Mi-So Kim; Hyeon-Ju Lee; Seonmi Shin; Arim Song; Gyeong In Lee; Seung-Heon Lee; Hyejin Kim; Orena Beatrice; Jane Babirye; Ocung Guido; Mary Akumu; Hee Joo Lee
41172775,A POC label-free biosensor to detect point mutations in the rpoB gene of Mycobacterium tuberculosis from RR-TB raw sputum samples.,"Rifampicin-resistant and multidrug-resistant tuberculosis (RR/MDR-TB) remain pressing global health concerns. Conventional diagnostics such as culture and GeneXpert are limited by high cost, infrastructure requirements, and lengthy procedures, highlighting the need for rapid and reliable molecular detection platforms. We developed an electrochemical biosensor for the selective detection of wild-type and clinically relevant point mutations (codons 516 and 531) in the rpoB gene of Mycobacterium tuberculosis. Thiolated gene-specific ssDNA probes were immobilized on gold nanoparticle-modified carbon screen-printed electrodes. The working principle of the designed biosensor relies on hybridization between the immobilized ssDNA probes and their complementary target sequences, which induces a marked decrease in electrochemical signals measured using Cyclic Voltammetry (CV) and Differential Pulse Voltammetry (DPV), thereby confirming high mutation specificity. The biosensor achieved detection limits of 6.01 pM and 6.48 pM for codons 516 and 531, respectively, with strong linearity (R",2025,"Bioelectrochemistry (Amsterdam, Netherlands)",10.1016/j.bioelechem.2025.109138,Muhammad Nauman Sharif; Saman Taufiq; Manzar Sohail; Shah Rukh Abbas
41170472,Consolidation of a genomic epidemiological surveillance network for tuberculosis (REVIGET) in northern and northeastern Brazil: a study protocol.,"Globally, tuberculosis (TB) remains a top cause of death from infectious diseases, with an estimated 1.5 million deaths annually. Given its substantial social and economic burden, TB is a priority in the United Nations 2030 Agenda for Sustainable Development. The WHO's End TB Strategy emphasizes research, innovation, and the rapid implementation of new technologies, such as whole-genome sequencing (WGS), which are pivotal for precision health approaches and drug-resistant TB (DR-TB) surveillance. This study aims to strengthen genomic TB surveillance in the North and Northeast Brazilian regions by applying WGS to study DR-TB cases, training professionals in genomics and bioinformatics, and deploying a national surveillance platform (GEMIBRA). This is an observational, cross-sectional, prospective, quantitative, and qualitative study to be conducted in the states of Pará, Amazonas, Ceará, and Bahia. A total of 500 ",2025,Frontiers in public health,10.3389/fpubh.2025.1668926,Emilyn Costa Conceição; Karla Valéria Batista Lima; Cristiane Cunha Frota; Theolis Costa Barbosa Bessa; Adriana Ayden Ferreira; Abhinav Sharma; Davi Josué Marcon; Layana Rufino Ribeiro; Alex Brito Souza; Danna Karen Corrêa Dos Santos; Carlos Augusto Abreu Alberio; Ricardo José de Paula Souza E Guimarães; Ismari Perini Furlaneto; Lilian Eduarda de Oliveira Freitas; Emmily Oliveira Amador; Hendor Neves Ribeiro de Jesus; Leonardo Bruno Paz Ferreira Barreto; Maria Cristina Silva Lourenço; Tulio de Oliveira; Robin Mark Warren
41170421,,"Tuberculosis (TB) remains a persistent global public health challenge, with the rise of drug-resistant tuberculosis (DR-TB) complicating all the disease control efforts. The World Health Organization (WHO) has advocated for molecular diagnostic techniques, including whole-genome sequencing (WGS), to enhance TB diagnosis and treatment strategies. In this study, we performed WGS analysis on 49 pulmonary tuberculosis isolates from Mexican patients to identify mutations conferring resistance to 11 key antimicrobial agents: four first-line drugs (isoniazid, rifampicin, ethambutol, and pyrazinamide) and 7 second line drugs (fluoroquinolones, ethionamide/prothionamide, amikacin, kanamycin, capreomycin, streptomycin, and bedaquiline). We identified 89 novel variants: 48 in genes previously associated with drug resistance and 41 in genes not previously linked to resistance mechanisms, including potential novel mutations associated with delamanid resistance. Additionally, we detected 31 mutations across three efflux pump superfamilies (ABC, RND, and MFS); all of these variants warrant further investigation regarding their contribution to antibiotic resistance. This analysis represents approximately 10% of Mexico's national variant registry, providing substantial insight into the molecular epidemiology of drug-resistant tuberculosis within the country. The identification of new resistance-associated variants (RAV) from clinical isolates underrepresented in global databases, contributes to develop improved diagnostic tools, optimize treatment regimens, and probably to elucidate antibiotic resistance mechanisms. Specifically, the identification of RAVs for new drugs like bedaquiline, pretomanid, delamanid, and linezolid, which are central to the most recent schemes of treatment (BPaLM, BPaL, BDLLfxC, BLMZ), is key to the improvement of patient outcomes and preventing the emergence of resistance to these critical therapeutic options.",2025,Frontiers in microbiology,10.3389/fmicb.2025.1666838,Néstor Alvarado-Peña; Marcela Muñoz Torrico; Luis Narváez-Díaz; Paulina M Mejía-Ponce; Eduardo Becerril Vargas; Joaquín Zúñiga; Raquel Muñiz-Salazar; Rafael Laniado-Laborín; Cuauhtémoc Licona-Cassani; Xavier Soberón; Eugenia Silva-Herzog
41168684,"Key resistance-associated mutations in multidrug-resistant tuberculosis: a genomic study from Shanghai, China, with a focus on aminoglycosides.","The aminoglycosides are essential drugs in the treatment of multidrug-resistant tuberculosis. Antibiotic resistance of Mycobacterium tuberculosis is a major public health concern worldwide. Therefore, it is of great significance to characterize the mutations by which susceptible M. tuberculosis evolves into drug resistance. A total of 110 clinical isolates of MDR-TB were used for Whole-genome sequencing (WGS) and phenotypic drug susceptibility testing to aminoglycosides, including amikacin, kanamycin, and streptomycin. Among 110 clinical MDR-TB strains, 7 (6.36%) were cross-resistant to amikacin and kanamycin, and 81 (73.64%) were resistant to streptomycin. The resistance rates to rifabutin, streptomycin, moxifloxacin, ofloxacin, and ethambutol were observed in 79.09%, 73.64%,35.45%, 34.55%, and 30.91%, respectively. Among the 81 MDR-TB strains resistant to streptomycin, the MIC values of streptomycin against MDR-TB showed the following distribution: 61 strains (75.31%) demonstrated resistance with MICs ≥ 32 µg/ml. The rrs gene mutations were detected in 6 (85.71%; 6/7) of the amikacin/kanamycin-resistant isolates, with the most frequent mutation being A1401G. Mutations in the eis promoter were identified at two positions in 3 amikacin/kanamycin-susceptible and streptomycin-resistant isolates (-10G > A and - 37G > T). In 80.25% (65 out of 81) of streptomycin-resistant MDR-TB isolates, two types of amino acid substitutions associated with rpsL mutations were identified. K43R was observed in 86.15% of isolates with mutations in rpsL, followed by K88R at 13.85%. In conclusion, current critical concentration methods and the design of molecular diagnostics need to be revisited to provide more accurate assessments of streptomycin resistance for rspL mutation-bearing isolates.",2025,BMC microbiology,10.1186/s12866-025-04446-x,Yinjuan Guo; Jinghui Yang; Hongxiu Wang; Wei Sha; Fangyou Yu
41168391,Diagnostic assistance method for RR-TB/MDR-TB patients under treatment based on CNN-LSTM.,"The rapid development of deep learning has promoted its application in disease diagnosis, treatment, and prognosis prediction. Medical imaging plays a crucial role in the management of rifampicin-resistant tuberculosis/multidrug-resistant tuberculosis (RR-TB/MDR-TB). In particular, chest computed tomography (CT) scans offer detailed lung images that can reveal subtle features. In this study, we propose a Convolutional Neural Network-Long Short-Term Memory (CNN-LSTM) model to predict treatment outcomes in RR-TB/MDR-TB patients, aiming to support clinicians in timely adjustment of therapeutic strategies and improving treatment success. The model integrates CNN for image feature extraction with LSTM for sequential analysis of patient monitoring data, including two types of immune detection indicators (T-cell subsets and peripheral blood tuberculosis-related CD161-positive cells). Transfer learning with weight initialization was applied to enhance model performance, and three backbone architectures (DenseNet201 + ABC, ResNet-50 + ABC, CheXNet + ABC) were compared to assess their impact on predictive accuracy. Experimental results demonstrated that the CNN-LSTM model with DenseNet201 + ABC as the backbone achieved the highest accuracy in predicting subsequent treatment indicators. These findings demonstrated the feasibility and effectiveness of using CNN-LSTM for treatment outcome prediction in RR-TB/MDR-TB, and highlighted its potential to assist clinicians in precision-tailoring treatment plans, thereby improving therapeutic efficacy and offering both theoretical and practical value in healthcare.",2025,Scientific reports,10.1038/s41598-025-21955-x,Jie Li; Wenqing Wu; Zhixiong Fang; Pinxiang Fu; Hua Huang; Yanhong Zhou; Liang Yu; He Huang; Tao Wang; Qilong Zhang
41165222,Pharmacokinetics and Safety of Clofazimine in Women With Rifampicin-resistant Tuberculosis During Pregnancy and the Postpartum Period: Results From IMPAACT P1026s.,"There are no published data on clofazimine pharmacokinetics during pregnancy, and safety data are limited. We present data from pregnant and postpartum women receiving clofazimine for treatment of rifampicin-resistant tuberculosis (RR-TB).",2025,The Journal of infectious diseases,10.1093/infdis/jiaf504,Jennifer A Hughes; Flynn McMorrow; Kristina M Brooks; Mauricio Pinilla; Lee Fairlie; James S Ngocho; Alice Stek; Brookie M Best; Mark Mirochnick; Lubbe Wiesner; Kathleen George; Kevin Knowles; Renee Browning; Tara DeYampert; Anneke C Hesseling; Eric Decloedt; David E Shapiro; Ahizechukwu C Eke
41164440,"Molecular epidemiology of drug-resistant tuberculosis in Jiangxi Province, China, 2022-2023.","Drug-resistant tuberculosis (DR-TB) poses a critical public health challenge in Jiangxi Province, China, where regional resistance patterns remain understudied. This retrospective study analyzed 9,041 suspected TB patients (2022-2023), identifying 3,104 ",2025,Global health & medicine,10.35772/ghm.2025.01065,Zhanqiu Mao; Huilie Zheng; Zhenqiong Liu; Zanhua Li; Qilong Zhang
41163939,Predictive Factors Associated With Multidrug-Resistant Tuberculosis Among Tuberculosis Patients in Southwest Ethiopia: An Unmatched Case-Control Study.,"Multidrug-resistant tuberculosis (MDR-TB) presents a significant public health challenge, particularly in resource-limited settings like Ethiopia. Identifying factors associated with MDR-TB is essential for designing effective control strategies. The objective of this study was to identify the determinants of multidrug-resistant tuberculosis (MDR-TB) in southwest Ethiopia, to inform targeted public health interventions, improve prevention and control strategies, and support evidence-based planning in regions with limited resources and a high burden of drug-resistant TB.",2025,Health science reports,10.1002/hsr2.71408,Sileshi Meseret Goshiye; Lamesa Dube; Solomon Berhanu Mogas; Buzuneh Tasfa Marine
41160716,"Maternal, pregnancy and infant outcomes in women treated for multidrug/rifampicin-resistant tuberculosis with novel and repurposed drugs in KwaZulu-Natal, South Africa.",There is limited evidence on the safety and efficacy of new and repurposed second-line anti-tuberculosis (TB) drugs in pregnant women.,2025,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,10.1093/cid/ciaf593,Marian Loveday; Jennifer Hughes; Nobuhle Mchunu; Nonhlanhla Yende-Zuma; Kerry Holloway; Sindisiwe Hlangu; Sunitha Chotoo; Nalini Singh; James A Seddon
